CollectionLTR,FAT,SNF, Amount
4491.3,3.89,8.14,88366.49
4775.3,4.03,8.53,111580.709
283.9,3.22,8.2,5137.67
4914.7,4.48,8.5,117702.57
1614.6,5.97,8.81,50750.764
534.7,3.72,8.24,11536.72
300.4,7,8.92,11708.277
211.9,6.6,8.99,7862.356
1895,5.78,8.76,59760.578
743.4,4.2,8.49,16980.081
3879,3.33,8.23,76449.815
5547.6,3.62,8.47,117611.23
3440,3.65,8.39,72825.7
241.5,3.75,7.79,5111.32
2614.9,3.25,8.62,53837.275
1005.5,4.39,8.47,23351.535
5158.2,3.53,8.37,115804.57
442.7,4.08,8.81,9880.255
6285,3.98,8.36,146042.206
1089.6,4.84,8.42,26273.407
230.4,6.39,9,7451.175
4042.5,6.88,8.87,145991.568
23.6,7.34,8.92,1000.47
19318.5,3.7,8.47,446446.325
9316.1,5.94,8.89,306393.406
16091,3.71,8.42,346948.12
649.6,6.9,8.89,23184.655
15619.9,3.54,8.39,346130.75
5872,3.96,8.5,132002.985
247.1,4.31,8.42,5097.14
1301,4.38,8.55,29902.233
1141.6,8.36,8.88,52429.839
2682.9,5.3,8.62,76595.127
23537.6,4.39,8.54,593370.851
5449,3.77,8.35,117923.235
1270.9,3.24,8.04,21913.57
3552.1,3.43,8.48,71891.685
2799.9,4.24,8.48,67421.681
4.7,3.32,8.27,98.23
7434.8,3.56,8.21,148925.525
717.8,3.78,8.3,14376.17
478.3,3.82,8.45,11426.197
163.2,8.25,8.99,7263.61
3162.9,3.51,8.27,64218.78
96,3.5,8.45,2135.02
6501.6,4.72,8.62,172404.022
456.7,6.23,8.98,15591.831
6021.2,3.88,8.52,132648.195
29986.6,3.61,8.36,644747.48
555.2,4.41,8.4,12232.89
7381,4.08,8.73,168112.483
1787.6,4.51,8.66,41964.84
28459.8,5.24,8.69,887236.834
3.9,4,8,78
13927.6,3.62,8.41,311397.04
15197.9,3.59,8.4,331487.93
8825.3,3.92,8.46,198538.825
1123.2,4.38,8.77,24490.135
9451,6.42,8.9,327501.183
3567.9,3.73,8.44,78731.245
195.5,6.34,8.98,6927.125
7.4,7.61,9,337.68
3314.3,4.56,8.54,86993.282
1609.9,3.65,8.3,31885.48
12221.9,3.49,8.16,251932.665
1607.3,3.55,8.27,32378.33
224,4.05,7.97,4825.2
1875.8,4.09,8.57,41069.222
15.5,2.95,8.23,228.04
1401.6,3.53,8.19,26231.9
3105.1,4.12,8.54,67645.819
485.1,7.29,8.93,18345.236
1316,3.5,8.21,27749.76
5716.6,4.04,8.56,130241.96
2093.6,3.83,8.59,50571.94
3290.8,3.44,8.31,65338.81
4008.9,3.95,8.53,97288.816
3059.9,3.57,8.28,60475.85
13172.3,4.16,8.49,300634.325
5217.8,3.7,8.47,116759.932
2131.5,3.94,8.4,46956.861
909.4,3.78,8.47,20814.74
1081.6,3.29,8.37,18357.02
2,3.5,7.7,37.2
8764,3.98,8.56,199720.19
103.8,3.73,8.38,2471.82
1380,4.07,8.47,30243.02
1904.4,3.41,8.22,33581.72
8370,3.57,8.34,175989.44
809.7,3.96,8.5,18184.565
1447.4,4.02,8.53,33447.685
412,4.07,8.15,8691.92
2414.6,4.56,8.2,52554.755
1137.3,4.08,8.69,25323.415
10176.3,3.43,8.29,211262.68
2052,5.8,8.41,64351.313
2795.5,6.14,8.51,86782.578
721.2,3.08,8.3,11443
11699.7,6.19,8.88,394938.07
4490.7,3.82,8.24,98167.81
538,3.86,8.51,12725.383
13045.3,3.58,8.5,280374.49
14634.6,6.79,8.99,542442.238
825,4.44,8.48,20498.73
2247.9,3.41,8.23,43660.35
10350.1,3.15,8.01,178057.72
66.1,6.82,8.32,2453.26
3177.3,4.24,8.28,67038.06
552.1,3.3,7.99,9528.68
434,3.28,8.24,8191.63
6257.7,3.65,8.38,128370.305
680.2,3.6,8.4,12897.995
481.4,6.06,8.81,15047.023
913.8,3.45,7.98,15155.22
166.6,6.78,8.8,5302.366
828.5,5.47,8.78,23169.279
499.6,4.13,8.08,10544.33
2067.4,3.59,8.47,45760.455
2896.5,3.98,8.4,62556.873
2340.5,4.43,8.27,51167.84
6287.4,3.73,8.31,134597.81
145.6,4.53,8.55,3291.495
3171.3,3.41,8.21,59407.32
897.7,7.68,9.19,36546.949
5088.8,5.35,8.61,140017.628
328.6,5.11,8.75,9203.693
4081.8,3.97,8.23,84183.507
868.5,3.79,8.3,18228.62
2618.7,3.85,8.41,57642.839
3246.3,3.57,8.35,68485.555
1635.1,3.6,8.31,36016.605
3176.6,3.74,8.37,70918.87
48189.3,3.63,8.52,1090353.22
1840.9,6.09,8.48,57804.597
164.8,4.21,8.36,4220.05
3495.5,3.23,8.11,66390.81
2489.3,5.16,8.55,59821.237
3545.7,4.32,8.36,79835.21
3201.7,5.11,8.68,91694.483
5888.6,3.13,7.85,93231.97
3261.5,3.95,8.4,73023.55
11542.9,5.99,8.93,383364.346
6695.3,3.69,8.4,148697.265
217.3,3.77,8.29,4357.545
872.7,5.93,8.84,27954.18
3007.6,4.86,8.58,79314.001
13008.6,4.2,8.57,317414.247
1218.1,4.25,8.71,27763.263
1445.3,4.05,8.17,30779.583
5358.6,4.15,8.47,124472.461
882.7,7.15,8.97,33054.876
4472,4.62,8.34,102553.845
18053.4,5.68,8.8,574441.702
11806.5,3.29,8.34,229196.325
9132.6,3.99,8.5,201628.088
6297.2,3.77,8.12,129653.88
392.4,2.84,8.61,4779.12
12596.5,3.69,8.15,266758.825
7439,3.8,8.48,164574.025
67918.5,3.98,8.37,1568600.765
111.3,6.36,8.79,3874.758
657.5,3.39,8.11,12000.02
3607.4,4.3,8.53,81114.435
3333.5,4.49,8.44,72728.105
3641.3,4.67,8.43,90911.692
919,3.16,8.03,16405.585
43,8.62,8.95,2077.21
8631.9,3.49,8.44,185519.347
73.4,3.37,8.3,1398.68
2977.2,3.98,8.34,67214.215
4618.6,4.47,8.75,114475.758
13699.2,6.32,9.04,499981.37
18,3.47,8.14,331.64
1106.5,4,8.3,22723.305
20933.2,4.07,8.57,486608.45
532.7,6.46,8.94,17874.431
60.7,3.76,8.61,1526.79
4017.7,4.35,8.63,94907.213
1524.2,2.87,7.88,22219.33
106.8,6,9.37,3326.125
1352.8,4.86,8.54,34484.837
7805,3.67,8.4,165892.38
7.3,3.77,8.57,184.69
147,4.2,8.52,3630.138
1043.5,4.79,8.96,26789.481
319.5,4.63,8.59,8377.071
1194.9,4.11,8.59,27506.047
651.7,3.9,8.45,15310.217
25.5,8.07,9,1184.22
373.2,7.08,8.46,12965.394
9516.3,3.89,8.24,199911.211
138.9,6.81,8.99,5387.918
845.6,6.32,8.91,28720.889
646.1,8.33,8.99,30310.313
385.3,4.02,8.32,8280.47
2275.2,3.75,8.31,48087.43
52.6,3.36,7.59,924.88
8332.9,3.62,8.53,191977.945
14429.5,3.48,8.45,310838.795
3008.7,4.65,8.59,79940.459
1561.4,3.72,8.44,30453.08
104.7,5.29,8.87,2923.538
3149,6.42,8.75,110253.869
158.9,7.41,8.89,6045.238
23.7,3.63,8.5,575.59
7487.4,3.6,8.41,164901.56
1105,6.57,8.83,38277.073
9955.3,4.76,8.34,249885.727
390.5,4.93,8.41,8967.073
166.5,3.87,8.62,4084.52
81220.4,3.67,8.46,1818656.82
1713.1,3.48,8.33,33420.212
820.9,3.81,8.43,18486.739
10910.7,3.72,8.25,228442.05
1539.8,3.86,8.49,34051.01
102.7,5.81,8.53,3170.838
8.2,5,8.5,180.4
9609.4,3.78,8.32,198821.625
1423.7,6.18,8.94,46457.208
28.5,3.45,8.08,564.32
646.4,4.45,8.61,14067.99
4609.9,4.16,8.41,101383.815
19696.7,3.71,8.44,448051.36
5116.9,3.64,8.39,104854.14
1219.2,3.36,8.41,25578.64
1455.9,4.13,8.68,33454.17
788.9,3.36,8.52,16074.95
10372.3,3.95,8.32,235533.943
3869.9,3.56,8.05,74306.85
19585.6,4.19,8.6,468248.895
2209.9,3.63,8.22,43836.21
7237,4.34,8.54,169208.015
63,7.75,9,2713.423
9062.7,3.69,8.38,189615.815
2945.5,3.61,8.46,66155.015
4877.8,3.58,8.4,105494.81
626.3,3.89,8.09,11659.02
19.3,3.6,8.52,483.2
1436.2,7.27,9.04,55282.855
6295,3.53,8.16,130126.13
875.4,3.43,8.21,17291.52
395.5,6.54,8.52,14016.862
236,5.02,8.99,6039.337
273.2,8.36,8.69,12560.656
189.3,3.7,8.48,4096.415
78.2,3.56,8.74,1617.24
187.3,5.68,8.88,5779.37
1062.4,3.54,8.16,19616.1
444.1,3.06,7.89,7124.58
2204.3,4.47,8.57,53741.487
185.1,6.6,9,6742.115
2319.9,5.19,8.72,64848.779
175.9,6.18,8.96,5947.062
20.3,5.6,8.84,609.642
263.6,8,8.57,10980.211
8372.1,4.91,8.63,225618.862
12267.1,4.93,8.63,327242.233
78,2.7,8.04,1119.76
285.2,3.06,8.05,4319.17
122.8,3.91,8.23,2355.32
18.9,3.92,8.28,358.42
75.1,3.36,8.72,1322.625
436.7,3.33,7.98,7737.2
217,3.6,8.21,3803.22
175,4.73,8.7,3907.82
979.9,6.19,8.98,31481.367
199.8,3.68,8.33,3884.951
676.2,3.88,8.31,13757.85
356.3,3.56,7.75,5405.35
854.2,3.77,8.2,17567.48
4611.1,4.19,8.57,110151.43
210.4,4.16,8.53,4879.15
1238.1,5.46,8.83,32151.043
830.6,6.58,9.04,28518.097
160.4,7.77,8.73,6226.349
278.2,4.26,8.24,5832.97
1198.6,4.57,8.55,28745.53
1920.4,3.73,8.44,42960.28
1300.9,3.54,8.42,29058.35
6991.4,3.94,8.4,155775.42
8945.3,3.65,8.34,189990.005
147.1,3.33,8.09,2394.17
819.1,8.72,9.2,34907.826
1408,4.79,8.45,33648.232
256.1,6.47,8.83,8642.291
1,3.1,8,17.5
9050.7,3.4,8.28,184896.11
151.3,6.31,8.81,5179.455
240.1,8.7,8.95,11671.536
1107.1,6.56,8.83,38246.977
241.6,6.03,8.93,8129.773
2589.3,4.39,7.97,52097.02
32.8,3.34,8.41,662.99
48.6,5.61,8.78,1437.455
360.8,3.41,8.12,6781.02
7.1,4.61,8.06,154.94
3147.9,4.05,8.24,69017.955
1242.1,6.46,8.96,43306.544
2487.2,5.41,8.5,66099.856
6442.2,3.42,8.28,131053.705
46.5,4.15,8.09,956.44
195.1,7,9.01,6795.109
475,3.61,8.28,9025.165
848.9,3.39,7.99,13779.12
923.5,5.25,8.61,25085.897
162.1,4.88,8.41,3586.18
427.1,6.01,8.46,12403.72
3560.1,3.92,8.22,76506.595
329.9,7.29,8.82,11994.217
8178,3.54,8.31,174661.235
31.7,5.39,9.07,745.257
5592.1,3.35,8.37,124598.79
143.3,3.94,8.48,3359.79
1581.5,4.55,8.61,40229.354
247.8,6.83,8.75,8330.673
40.3,5.57,8.57,1191.316
1513.7,3.97,8.51,35107.798
101.6,6.12,8.98,3594.71
5,3.5,8.5,102.5
485.8,3.58,8.14,9369.02
449.1,7.14,8.71,18052.59
468.1,5.3,8.74,14140.781
1705.4,3.57,8.26,33230.64
7936.3,3.64,8.49,177134.48
944.5,7.47,8.97,39685.502
858,3.88,8.51,19109.56
936.6,6.95,8.77,33796.282
94.4,3.87,8.49,2043.73
224.6,5.03,8.71,5826.469
77.3,3.51,8.37,1549.48
510.6,6.57,8.86,17637.411
10376.6,3.92,8.52,243430.93
856.5,2.96,8.17,12709.14
118.4,4.28,8.35,2790.16
4070.9,3.44,8.3,88003.6
941.3,7.22,9.09,35210.478
622.4,3.54,8.27,11565.49
844.8,4.71,8.77,21036.835
6378.6,3.51,8.46,144632.15
45.9,5.59,8.38,1226.296
558.2,3.94,8.24,11621.03
23.7,3.61,8.13,445.87
4256.9,3.77,8.46,100376.42
466.3,3.16,8.07,7562.03
644.4,4.4,8.46,15253.74
133.3,4.5,8.41,2933.48
131.7,3.52,8.64,3238.66
1526.7,3.47,8.38,32055.85
2979.6,3.65,8.44,69403.8
510.8,3.81,8.35,11262.15
1184.6,3.6,8.51,25491.53
576.5,3.79,8.47,13390.81
70.3,3.43,8.21,1237.02
373.1,3.69,8.43,7919.2
163.1,3.64,8.48,3370.97
1321.7,3.29,8.64,28936.11
1586.5,5.93,8.75,48384.132
1271.4,5.53,8.59,37060.286
515.9,7.48,8.86,21193.741
11.3,6.48,8.89,406.36
2199.5,3.67,8.21,46107.22
18.1,4.24,8.44,420.598
251.2,3.69,8.01,4774.34
4245.1,3.27,8.3,91116.38
729,8.01,8.96,31927.666
3519.1,3.71,8.37,71949.768
180.3,5.69,8.54,5259.322
530.3,3.72,8,10275.45
65.5,4.03,8.03,1352.67
896.3,5.62,8.83,26703.502
4032.1,3.48,8.29,85218.545
290.5,6.37,8.96,10286.28
226.9,3.67,8.44,4896.19
157.6,7.31,8.95,6427.055
5730.6,4.5,8.54,140611.015
93.4,5.97,8.79,2983.871
1823.5,3.55,8.45,40641.595
148.8,4.43,7.89,3050.22
268.7,3.95,8.7,5749.63
12868.4,3.63,8.47,286357.32
509.8,3.83,8.42,9413.481
376,2.78,7.74,5559.81
385.2,3.24,8.24,6287.555
162,3.86,8.23,3123.17
392.5,3.27,7.69,5994.38
1100.2,3.41,8.53,21283.485
2325.2,5.21,8.51,55690.42
383.5,7.47,9.17,14843.021
290.2,3.42,8.22,5735.044
512.3,5.6,8.94,13989.725
681.9,7.38,9.29,25389.057
1804.2,3.58,8.32,36311.835
1111.5,3.84,8.28,21959.08
505.5,6.89,8.56,17116.017
7.1,3.78,8.57,178.64
2299.9,4.04,8.39,49260.82
7.1,3.8,8.57,179.06
763.2,5.44,9.06,20661.147
19,3.79,8.41,409.3
1177.5,3.61,8.42,26193.82
1154.3,5.07,8.67,27980.555
15733,4.2,8.5,380109.642
52352.2,3.51,8.54,1177697.83
27215.4,3.61,8.46,621782.46
1399.3,3.46,8.35,29073.078
255.9,7.32,9.21,9770.366
497.5,6.67,8.96,18178.422
47.2,8.5,9.2,2015.144
158.8,7.59,8.98,6721.77
993.7,5.99,8.78,32311.824
29.7,7.77,8.63,1321.38
